Index,Dist,Vals
1,50 m,"among, beside, side by side, next to, colocated, very near, along, besides"
2,100 m,"at, close to, close, in close distance to, across from, not far away, enclosed by, around it, side by side, in front of, behind, right of, left of"
3,250 m,"adjacent to, near, nearby, down the street, a block away, opposite to, opposite from"
4,500 m,"around, in vicinity of, in surroundings"
5,900 m,"far, distant, distance, "
6,1500 m,"east of, west of, north of, south of, north-east of, north-west of, south-east of, south-west of"
